"figure_id","page_url","component_type","source_data_file","caption_text"
"fig-3dprint-annual-count","/chapters/3d-printing/","PWLineChart","3dprint/3dprint_per_year.json","Annual count and share of utility patents classified under additive manufacturing CPC codes, 1990-2025. The sharp acceleration after 2009 coincides with the expiration of Stratasys's foundational FDM patent, which opened the technology to widespre..."
"fig-3dprint-share","/chapters/3d-printing/","PWLineChart","3dprint/3dprint_per_year.json","Percentage of all utility patents classified under additive manufacturing CPC codes. The upward trend indicates that AM patenting growth reflects a real shift in manufacturing innovation priorities, not merely growth tracking the overall patent sy..."
"fig-3dprint-entrant-incumbent","/chapters/3d-printing/","PWAreaChart","","Entrants are assignees filing their first 3D printing patent in a given year. Incumbents had at least one prior-year patent. Grant year shown."
"fig-3dprint-subfields","/chapters/3d-printing/","PWAreaChart","","Patent counts by additive manufacturing subfield over time. AM processes and polymer AM (B29C64) represent the largest established categories, while metal AM (B22F10) has grown rapidly since 2015, reflecting the technology's expansion into product..."
"fig-3dprint-top-assignees","/chapters/3d-printing/","PWBarChart","","Organizations ranked by total additive manufacturing patents. The leadership of HP and GE alongside AM-native firms (Stratasys, 3D Systems) and aerospace companies (Boeing) reflects the technology's dual trajectory as both a standalone industry an..."
"fig-3dprint-org-rankings","/chapters/3d-printing/","PWRankHeatmap","","Annual ranking of the top 15 organizations by additive manufacturing patent grants, 2000-2025. Darker cells indicate higher rank. The data reveal the transition from a field dominated by AM pioneers (Stratasys, 3D Systems) to an increasingly compe..."
"fig-3dprint-top-inventors","/chapters/3d-printing/","PWBarChart","3dprint/3dprint_assignee_type.json; 3dprint/3dprint_geography.json","Primary inventors ranked by total additive manufacturing patents. The distribution exhibits pronounced skewness, with the most prolific inventors typically affiliated with AM-native firms involved in foundational process and materials innovations."
"fig-3dprint-by-country","/chapters/3d-printing/","PWBarChart","3dprint/3dprint_top_inventors.json","Countries ranked by total additive manufacturing patents based on primary inventor location. The United States maintains the leading position, while the strong presence of Germany and Japan reflects their advanced manufacturing traditions, and Chi..."
"fig-3dprint-by-state","/chapters/3d-printing/","PWBarChart","3dprint/3dprint_top_inventors.json","US states ranked by total additive manufacturing patents based on primary inventor location. The geographic clustering reflects the locations of major AM firms and their proximity to manufacturing customer bases in aerospace, medical devices, and ..."
"fig-3dprint-quality","/chapters/3d-printing/","PWLineChart","3dprint/3dprint_entrant_incumbent.json; 3dprint/3dprint_top_inventors.json","Average claims, backward citations, and technology scope for additive manufacturing patents by year. The rising technology scope indicates that AM patents increasingly span multiple CPC subclasses, consistent with the interdisciplinary nature of A..."
"fig-3dprint-quality-bifurcation","/chapters/3d-printing/","PWLineChart","3dprint/3dprint_entrant_incumbent.json; 3dprint/3dprint_top_inventors.json","Top decile computed relative to all utility patents in the same grant year and primary CPC section. Rising share indicates domain quality outpacing the system; falling share indicates dilution."
"fig-3dprint-diffusion","/chapters/3d-printing/","PWLineChart","3dprint/3dprint_org_over_time.json","Percentage of additive manufacturing patents co-classified with each non-AM CPC section. Rising lines indicate AM diffusing into that sector. The increasing co-occurrence with Human Necessities (Section A, encompassing medical devices) and Perform..."
"fig-3dprint-team-comparison","/chapters/3d-printing/","PWLineChart","3dprint/3dprint_strategies.json; 3dprint/3dprint_team_comparison.json","Average number of inventors per patent for additive manufacturing versus non-AM utility patents by year. AM patents have generally involved larger teams, though the gap narrowed and briefly reversed during 2016-2018 before widening again in recent..."
"fig-3dprint-assignee-type","/chapters/3d-printing/","PWAreaChart","3dprint/3dprint_quality.json; 3dprint/3dprint_team_comparison.json","Distribution of additive manufacturing patent assignees by type over time. Corporate assignees have consistently dominated, with their share intensifying as industrial firms entered the field after 2012. University AM patenting has grown in absolu..."
"fig-3dprint-cr4","/chapters/3d-printing/","PWLineChart","","CR4 (four-firm concentration ratio) computed as the sum of the top 4 organizations' annual patent counts divided by total domain patents. The 2005 peak reflects Micron Technology's dominance during its semiconductor-adjacent AM activity. Post-2009..."
"fig-3dprint-entropy","/chapters/3d-printing/","PWLineChart","","Normalized Shannon entropy (H/ln(N)) ranges from 0 (all activity in one subfield) to 1 (perfectly even distribution). Values consistently above 0.85 indicate that AM innovation has been broadly distributed across equipment, processes, materials, p..."
"fig-3dprint-velocity","/chapters/3d-printing/","PWBarChart","","Patenting velocity is computed as total domain patents divided by active career span (last year minus first year plus one) for each organization, then averaged by entry decade cohort. Only cohorts with three or more organizations are shown. The in..."
"fig-3dprint-filing-vs-grant","/chapters/3d-printing/","PWLineChart","","The divergence between filing and grant curves reflects the USPTO examination pipeline. Filings peaked in 2019 and have since declined, but grants continued rising through 2024 as the backlog of applications was processed."
"fig-agtech-annual-count","/chapters/agricultural-technology/","PWLineChart","agtech/agtech_per_year.json","Annual count and share of utility patents classified under agricultural technology CPC codes, 1976-2025. The data reveal sustained growth with notable accelerations following the introduction of genetically modified crops in 1996 and the precision..."
"fig-agtech-share","/chapters/agricultural-technology/","PWLineChart","agtech/agtech_per_year.json","Percentage of all utility patents classified under agricultural technology CPC codes. Fluctuations in share reflect both changes in agricultural R&D investment and the growth of other technology sectors that expand the overall patent base."
"fig-agtech-entrant-incumbent","/chapters/agricultural-technology/","PWAreaChart","","Entrants are assignees filing their first agricultural technology patent in a given year. Incumbents had at least one prior-year patent. Grant year shown."
"fig-agtech-subfields","/chapters/agricultural-technology/","PWAreaChart","","Patent counts by agricultural subfield over time. Horticulture and forestry and plant breeding account for the largest share of agricultural patents, reflecting their breadth and commercial importance. Precision agriculture, though smaller in abso..."
"fig-agtech-top-assignees","/chapters/agricultural-technology/","PWBarChart","","Organizations ranked by total agricultural technology patents. The data indicate a concentration among large agribusiness firms with vertically integrated operations spanning equipment manufacturing, seed development, and crop protection chemicals."
"fig-agtech-org-rankings","/chapters/agricultural-technology/","PWRankHeatmap","","Annual ranking of the top 15 organizations by agricultural patent grants, 2000-2025. Darker cells indicate higher rank (more patents). The data reveal the effects of industry consolidation, with mergers and acquisitions reshaping rankings over time."
"fig-agtech-top-inventors","/chapters/agricultural-technology/","PWBarChart","agtech/agtech_assignee_type.json; agtech/agtech_geography.json","Primary inventors ranked by total agricultural technology patents. The distribution reflects the specialized nature of agricultural innovation, with prolific inventors typically associated with major agribusiness firms and concentrated in specific..."
"fig-agtech-by-country","/chapters/agricultural-technology/","PWBarChart","agtech/agtech_top_inventors.json","Countries ranked by total agricultural technology patents based on primary inventor location. The United States maintains a substantial lead, while the presence of European and Asian agricultural economies reflects the global nature of food produc..."
"fig-agtech-by-state","/chapters/agricultural-technology/","PWBarChart","agtech/agtech_top_inventors.json","US states ranked by total agricultural technology patents based on primary inventor location. The clustering pattern reflects the location of major agribusiness corporate headquarters and land-grant universities with agricultural research programs."
"fig-agtech-quality","/chapters/agricultural-technology/","PWLineChart","agtech/agtech_entrant_incumbent.json; agtech/agtech_top_inventors.json","Average claims, backward citations, and technology scope for agricultural patents by year. The upward trend in technology scope reflects the increasing interdisciplinarity of agricultural innovation as digital, biological, and mechanical technolog..."
"fig-agtech-quality-bifurcation","/chapters/agricultural-technology/","PWLineChart","agtech/agtech_entrant_incumbent.json; agtech/agtech_top_inventors.json","Top decile computed relative to all utility patents in the same grant year and primary CPC section. Rising share indicates domain quality outpacing the system; falling share indicates dilution."
"fig-agtech-diffusion","/chapters/agricultural-technology/","PWLineChart","agtech/agtech_org_over_time.json","Percentage of agricultural patents that also carry CPC codes from each non-agricultural section. Rising lines indicate growing technology convergence. The most notable pattern is the dominant co-occurrence with Physics (Section G, encompassing sen..."
